Nome_Produto,Categoria,Descricao_Original,Preco
Tenis Corrida Performance 2026,Calcados,Tenis leve ideal para corrida diaria com amortecimento reforcado,399.90
Camiseta Algodao Organico Curitiba,Vestuário,Camiseta confortavel feita com algodao organico premium,89.90
Smartwatch Pro Max V5,Eletronicos,Relogio inteligente com monitor cardiaco e notificacoes,799.90
Mochila Executiva Slim,Utilidades,Mochila resistente com compartimento para notebook,249.90
Fone Bluetooth X200,Eletronicos,Fone sem fio com cancelamento de ruido e bateria longa,299.90
Jaqueta Corta Vento Sport,Vestuário,Jaqueta leve resistente a vento e chuva fraca,199.90
Mouse Gamer RGB Pro,Informatica,Mouse com alta precisao e iluminacao RGB ajustavel,149.90
Teclado Mecanico Blue Switch,Informatica,Teclado mecanico com switches azuis e iluminacao LED,329.90
Cadeira Gamer Confort Plus,Moveis,Cadeira ergonomica com ajuste de altura e inclinacao,1199.90
Garrafa Termica Inox 1L,Utilidades,Garrafa termica que mantem bebida quente ou fria por horas,79.90
Relogio Casual Masculino,Acessorios,Relogio analogico moderno com pulseira de couro,259.90
Bolsa Feminina Elegance,Acessorios,Bolsa espacosa com acabamento sofisticado,189.90
Notebook Ultra Slim 14,Eletronicos,Notebook leve com processador rapido e SSD 512GB,4299.90
Monitor LED 24 Polegadas,Eletronicos,Monitor full HD ideal para trabalho e jogos leves,899.90
Sandalia Confort Flex,Calcados,Sandalia confortavel para uso diario,129.90
Calca Jeans Premium,Vestuário,Calca jeans resistente com corte moderno,179.90
Camisa Social Slim Fit,Vestuário,Camisa elegante ideal para ambiente corporativo,139.90
Headset Gamer Surround,Eletronicos,Headset com som imersivo e microfone ajustavel,349.90
Tablet Pro 10,Eletronicos,Tablet com tela grande ideal para estudos e trabalho,1999.90
Carregador Turbo USB-C,Eletronicos,Carregador rapido compativel com varios dispositivos,99.90
Luminaria LED Mesa,Iluminacao,Luminaria moderna com ajuste de intensidade,119.90
Bicicleta Urbana Aro 29,Esporte,Bicicleta resistente ideal para uso urbano,2499.90
Bola Futebol Oficial,Esporte,Bola resistente para jogos e treinos,129.90
Tapete Yoga Antiderrapante,Esporte,Tapete confortavel ideal para yoga e pilates,99.90
Perfume Masculino Intense,Beleza,Perfume marcante com fragrancia amadeirada,229.90
Perfume Feminino Floral,Beleza,Perfume delicado com aroma floral suave,219.90
Escova Secadora Pro,Beleza,Escova eletrica que seca e modela o cabelo,199.90
Panela Antiaderente 5L,Cozinha,Panela resistente ideal para preparo de grandes porcoes,149.90
Conjunto Facas Inox,Cozinha,Conjunto de facas afiadas com cabo ergonomico,199.90
Liquidificador Turbo 1200W,Cozinha,Potente liquidificador para sucos e massas,249.90
Smart TV 50 4K,Eletronicos,TV com imagem em alta definicao e acesso a apps,2899.90
Controle Video Game Wireless,Games,Controle sem fio com alta precisao,279.90
Console Game Station X,Games,Console moderno com graficos avancados,3999.90
Caixa Som Bluetooth Party,Eletronicos,Caixa potente com graves reforcados e luz LED,499.90
Kit Ferramentas 50 Pecas,Ferramentas,Kit completo para pequenos reparos domesticos,159.90
Furadeira Impacto 750W,Ferramentas,Furadeira potente para uso residencial,349.90
Colchao Queen Confort,Moveis,Colchao macio com suporte ergonomico,1599.90
Travesseiro Memory Foam,Moveis,Travesseiro que se adapta ao formato do corpo,129.90
Cafeteira Eletrica 15 Xicaras,Cozinha,Cafeteira pratica para uso diario,199.90
Smartphone Ultra 128GB,Eletronicos,Smartphone rapido com camera de alta resolucao,2599.90
Power Bank 20000mAh,Eletronicos,Bateria portatil para carregar dispositivos moveis,149.90
Drone Explorer 4K,Eletronicos,Drone com camera 4K e controle remoto,3499.90
Relogio Esportivo Digital,Acessorios,Relogio resistente ideal para atividades fisicas,189.90
Cinto Couro Legitimo,Acessorios,Cinto elegante produzido em couro resistente,99.90
Kit Maquiagem Completo,Beleza,Kit com diversos itens para maquiagem profissional,299.90
Secador Cabelo Profissional,Beleza,Secador potente com controle de temperatura,249.90
Ventilador Torre Silencioso,Eletrodomesticos,Ventilador moderno com baixo nivel de ruido,329.90
Ar Condicionado 12000 BTUs,Eletrodomesticos,Equipamento eficiente para climatizacao de ambientes,2299.90
Impressora Multifuncional WiFi,Informatica,Impressora com scanner e conexao sem fio,899.90
HD Externo 1TB,Informatica,Armazenamento externo rapido e portatil,399.90
